yeardisease,year,disease,death_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923PNEUMONIA,1923,PNEUMONIA,8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920PNEUMONIA,1920,PNEUMONIA,8000,,Sum of death_count,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940INFLUENZA,1940,INFLUENZA,6121,,SCARLET FEVER,,213,576,491,556,710,651,744,841,532,538,449,556,695,652,765,737,644,512,543,753,933,1027,870,797,645,758,691,490,554,631,600,693,929,932,670,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24191
1939INFLUENZA,1939,INFLUENZA,6118,,SMALLPOX,,20,23,2,7,42,63,145,114,53,24,5,79,92,197,426,239,128,85,31,30,1,3,11,46,43,12,43,26,22,55,52,37,95,96,126,33,5653,5408,5514,5399,5231,5117,5399,5298,4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49654
1941PNEUMONIA,1941,PNEUMONIA,6104,,TUBERCULOSIS [PHTHISIS PULMONALIS],,,,29,1062,1204,1324,2476,3044,2943,2502,2511,2906,2857,2938,3324,3115,2915,2899,3271,4225,4269,4754,3594,4175,4147,3836,3875,4465,5045,5642,7169,7626,7243,6874,6875,6950,5644,5421,5522,5429,5299,5198,5413,5295,5383,5520,5383,5499,6002,6032,6093,6126,6139,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233483
1938TUBERCULOSIS [PHTHISIS PULMONALIS],1938,TUBERCULOSIS [PHTHISIS PULMONALIS],6093,,TYPHOID FEVER [ENTERIC FEVER],1,541,975,969,958,988,932,1395,1505,1379,1173,1245,1416,1389,1392,1560,1466,1345,1239,1483,1839,1775,1755,1308,1584,1264,281,1221,1262,1312,1396,1468,1195,1117,1174,1012,1043,5648,5420,5520,5405,5293,5199,5340,5298,4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92610
1941INFLUENZA,1941,INFLUENZA,6088,,TYPHUS FEVER,,9,5,7,9,18,32,2,,3,3,,5,1,3,,,,1,4,,,,,,,,,,,,,,,,,,725,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455
1938PNEUMONIA,1938,PNEUMONIA,6086,,VARIOLOID,,,2,1,1,,2,2,,,1,1,3,2,3,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
1938INFLUENZA,1938,INFLUENZA,6069,,WHOOPING COUGH [PERTUSSIS],,233,487,520,486,513,501,801,638,763,591,656,632,650,579,651,775,417,552,795,762,833,727,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14179
1937PNEUMONIA,1937,PNEUMONIA,6047,,YELLOW FEVER,,4,1,,,1,,2,1,,25,6,10,,1,,1,,21,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
1937TUBERCULOSIS [PHTHISIS PULMONALIS],1937,TUBERCULOSIS [PHTHISIS PULMONALIS],6032,,Grand Total,1,1536,3125,3021,4108,4511,4460,6961,7703,7235,6193,6015,6935,7170,7163,8257,7763,6743,6805,7505,9236,9378,9846,7596,8134,10580,8027,8906,9157,10080,11931,15235,14759,22171,20154,20877,22340,32128,30975,30473,29777,28207,27978,29191,28636,25591,16521,16133,16472,17992,18104,18248,18367,18390,18193,9026,8987,9065,9096,8824,9277,4529,5225,3796,3729,5302,5395,5241,5280,5181,5078,4528,4997,5045,5104,4878,4853,5156,5114,5041,4636,4763,4675,4622,5355,4330,4992,4739,5160,5010,4813,5055,5204,5272,5279,5131,5089,5392,5220,4778,5241,5244,5316,5258,5320,5579,5463,5462,5490,3314,1051942
1937INFLUENZA,1937,INFLUENZA,6025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936PNEUMONIA,1936,PNEUMONIA,6014,,,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,,0,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54396
1936TUBERCULOSIS [PHTHISIS PULMONALIS],1936,TUBERCULOSIS [PHTHISIS PULMONALIS],6002,,DIPHTHERIA,,514,1047,1001,1024,1024,955,1394,1560,1560,1335,1142,1328,1480,1398,1531,1430,1293,1248,1376,1626,1567,1580,1196,1532,1415,1457,1510,1531,1638,1900,1967,2201,2267,2605,2381,2272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24191
1941TUBERCULOSIS [PHTHISIS PULMONALIS],1941,TUBERCULOSIS [PHTHISIS PULMONALIS],6001,,SCARLET FEVER,,213,576,491,556,710,651,744,841,532,538,449,556,695,652,765,737,644,512,543,753,933,1027,870,797,645,758,691,490,554,631,600,693,929,932,670,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233483
1936INFLUENZA,1936,INFLUENZA,5976,,TUBERCULOSIS [PHTHISIS PULMONALIS],,,,29,1062,1204,1324,2476,3044,2943,2502,2511,2906,2857,2938,3324,3115,2915,2899,3271,4225,4269,4754,3594,4175,4147,3836,3875,4465,5045,5642,7169,7626,7243,6874,6875,6950,5644,5421,5522,5429,5299,5198,5413,5295,5383,5520,5383,5499,6002,6032,6093,6126,6139,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92610
1924SMALLPOX,1924,SMALLPOX,5653,,TYPHOID FEVER [ENTERIC FEVER],1,541,975,969,958,988,932,1395,1505,1379,1173,1245,1416,1389,1392,1560,1466,1345,1239,1483,1839,1775,1755,1308,1584,1264,281,1221,1262,1312,1396,1468,1195,1117,1174,1012,1043,5648,5420,5520,5405,5293,5199,5340,5298,4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14179
1924INFLUENZA,1924,INFLUENZA,5652,,WHOOPING COUGH [PERTUSSIS],,233,487,520,486,513,501,801,638,763,591,656,632,650,579,651,775,417,552,795,762,833,727,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924TYPHOID FEVER [ENTERIC FEVER],1924,TYPHOID FEVER [ENTERIC FEVER],5648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924TUBERCULOSIS [PHTHISIS PULMONALIS],1924,TUBERCULOSIS [PHTHISIS PULMONALIS],5644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917TUBERCULOSIS [PHTHISIS PULMONALIS],1917,TUBERCULOSIS [PHTHISIS PULMONALIS],5642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924PNEUMONIA,1924,PNEUMONIA,5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008PNEUMONIA AND INFLUENZA,2008,PNEUMONIA AND INFLUENZA,5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926TUBERCULOSIS [PHTHISIS PULMONALIS],1926,TUBERCULOSIS [PHTHISIS PULMONALIS],5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933PNEUMONIA,1933,PNEUMONIA,5521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933TUBERCULOSIS [PHTHISIS PULMONALIS],1933,TUBERCULOSIS [PHTHISIS PULMONALIS],5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926TYPHOID FEVER [ENTERIC FEVER],1926,TYPHOID FEVER [ENTERIC FEVER],5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926SMALLPOX,1926,SMALLPOX,5514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926INFLUENZA,1926,INFLUENZA,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935PNEUMONIA,1935,PNEUMONIA,5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935TUBERCULOSIS [PHTHISIS PULMONALIS],1935,TUBERCULOSIS [PHTHISIS PULMONALIS],5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PNEUMONIA AND INFLUENZA,2013,PNEUMONIA AND INFLUENZA,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933INFLUENZA,1933,INFLUENZA,5480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935INFLUENZA,1935,INFLUENZA,5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926PNEUMONIA,1926,PNEUMONIA,5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009PNEUMONIA AND INFLUENZA,2009,PNEUMONIA AND INFLUENZA,5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PNEUMONIA AND INFLUENZA,2012,PNEUMONIA AND INFLUENZA,5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927TUBERCULOSIS [PHTHISIS PULMONALIS],1927,TUBERCULOSIS [PHTHISIS PULMONALIS],5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925INFLUENZA,1925,INFLUENZA,5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925TUBERCULOSIS [PHTHISIS PULMONALIS],1925,TUBERCULOSIS [PHTHISIS PULMONALIS],5421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925TYPHOID FEVER [ENTERIC FEVER],1925,TYPHOID FEVER [ENTERIC FEVER],5420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930TUBERCULOSIS [PHTHISIS PULMONALIS],1930,TUBERCULOSIS [PHTHISIS PULMONALIS],5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925SMALLPOX,1925,SMALLPOX,5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927TYPHOID FEVER [ENTERIC FEVER],1927,TYPHOID FEVER [ENTERIC FEVER],5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930SMALLPOX,1930,SMALLPOX,5399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927SMALLPOX,1927,SMALLPOX,5399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927INFLUENZA,1927,INFLUENZA,5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969PNEUMONIA AND INFLUENZA,1969,PNEUMONIA AND INFLUENZA,5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000PNEUMONIA AND INFLUENZA,2000,PNEUMONIA AND INFLUENZA,5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934PNEUMONIA,1934,PNEUMONIA,5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934TUBERCULOSIS [PHTHISIS PULMONALIS],1934,TUBERCULOSIS [PHTHISIS PULMONALIS],5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932TUBERCULOSIS [PHTHISIS PULMONALIS],1932,TUBERCULOSIS [PHTHISIS PULMONALIS],5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927PNEUMONIA,1927,PNEUMONIA,5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930INFLUENZA,1930,INFLUENZA,5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925PNEUMONIA,1925,PNEUMONIA,5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934INFLUENZA,1934,INFLUENZA,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930PNEUMONIA,1930,PNEUMONIA,5361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987PNEUMONIA AND INFLUENZA,1987,PNEUMONIA AND INFLUENZA,5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932PNEUMONIA,1932,PNEUMONIA,5354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932INFLUENZA,1932,INFLUENZA,5352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930TYPHOID FEVER [ENTERIC FEVER],1930,TYPHOID FEVER [ENTERIC FEVER],5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007PNEUMONIA AND INFLUENZA,2007,PNEUMONIA AND INFLUENZA,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005PNEUMONIA AND INFLUENZA,2005,PNEUMONIA AND INFLUENZA,5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
